domain,tranco_rank,category,theme,ip,server_header,primary_contact_email,all_emails,phones,socials,addresses,pages_checked,fetched_at
acfezimbabwe.co.zw,,ngo,popularfx,172.67.161.153,cloudflare,,,+263773616324; +26377 351 5046; +263242251415-8,https://www.facebook.com/profile.php?id=100079624293273; https://twitter.com/AcfeZimbabwe; https://www.instagram.com/acfezimbabwechapter/; https://www.linkedin.com/in/acfe-zimbabwe-chapter-351115219/,,"/,/contact",2026-05-04T21:08:46.289023+00:00
aaomar.co.zw,,business,,65.60.4.2,,enquiries@aaomar.co.zw,enquiries@aaomar.co.zw,+263 4 2706562,,,"/,/index.php/contact-us/,/index.php/about-us/",2026-05-04T21:08:46.289046+00:00
ballatech.co.zw,,business,,209.42.24.160,LiteSpeed,,,,,,/,2026-05-04T21:08:46.289075+00:00
autoserve.co.zw,,business,hello-elementor,67.222.24.24,LiteSpeed,contact@autoserve.co.zw,contact@autoserve.co.zw; help@autoserve.co.zw; mudzingwamunashe3@gmail.com,+263776295152,https://www.facebook.com/autoserveEngines; https://www.instagram.com/autoserve_vehicle_spares?igsh=MW1pNTB0MWUyZnBvbA%3D%3D&utm_source=qr,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.289114+00:00
arcpay.co.zw,,business,,172.96.161.16,Apache,info@arcpay.co.zw,info@arcpay.co.zw,+263 772 397 428; +263-242-704605; +263 772397428 11,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.289163+00:00
axcentium.co.zw,,business,hello-elementor-child,96.127.129.50,,,,,,,,2026-05-04T21:08:46.289185+00:00
aic.co.zw,,business,,129.232.213.109,Apache,queries@aic.co.zw,%71uer%69es@a%69c.co.zw; queries@aic.co.zw,+263 867 700 0715,https://www.linkedin.com/company/alliance-insurance-company-zimbabwe; https://www.facebook.com/allianceinsurancezimbabwe; https://www.instagram.com/alliance_insurancezim,,"/,/about-us/our-business/,/about/,/about-us/sustainability/,/about-us/corporate-social-responsibility/",2026-05-04T21:08:46.289227+00:00
arcwellinsurance.co.zw,,business,,172.67.211.110,cloudflare,,,+263 242447293; +263 77 384 2736; +263 77 534 5226,,,"/,/contact-us/,/contact",2026-05-04T21:08:46.289263+00:00
adlynprinters.co.zw,,ecommerce,onsus,67.209.113.179,LiteSpeed,info@adlynprinters.co.zw,%20info@adlynprinters.co.zw; oesus@support.com; info@adlynprinters.co.zw; contact@example.com; sales@adlynprinters.co.zw,+263779767976; +263 779 767 976; 0776755565,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.facebook.com/adlynprinters/&ved=2ahUKEwjS7uKD3bGTAxW3U0EAHZ18F1MQFnoECCAQAQ&usg=AOvVaw3y4Rcknwu6o7YkSUX0oIjK; https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://x.com/adlynprinters&ved=2ahUKEwiDvoSa3bGTAxVUW0EAHaOpCXEQFnoECBoQAQ&usg=AOvVaw32TkOKlueGzsSUOJVGuBwS; https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.instagram.com/p/DMClkQsoidE/&ved=2ahUKEwjS7uKD3bGTAxW3U0EAHZ18F1MQFnoECD8QAQ&usg=AOvVaw25mvDxEyVW2VKnmuxH6J2R; https://www.linkedin.com/company/adlyn-printers,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.289308+00:00
avenuesclinic.co.zw,,business,enfold,188.114.97.5,cloudflare,,,,,,,2026-05-04T21:08:46.289341+00:00
apex.co.zw,,business,,172.67.189.208,,,,+263 867 700 8933,,,"/,/contactus/,/about/,/about-us/",2026-05-04T21:08:46.289354+00:00
areteworld.co.zw,,other,,149.255.62.136,nginx,info@areteworld.co.zw,info@areteworld.co.zw,+263 78 467 8129; +263 71 967 8128 15,https://www.twitter.com/arete_world; https://www.facebook.com/areteworld; https://www.linkedin.com/company/arete-world/; https://instagram.com/arete_world; https://twitter.com/arete_world,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.289387+00:00
afrobloggers.org.zw,,blog,,188.114.96.5,LiteSpeed,,,,https://www.facebook.com/hacklink.official/; https://x.com/Marsbahistelegr; https://x.com/_Marsbahis_xTR; https://x.com/hacklinkpanel; https://x.com/MeritkingHaber_; https://twitter.com/afrobloggers,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.289407+00:00
afrogazette.co.zw,,news,,23.106.55.197,,,,,https://www.facebook.com/afrogaette; https://twitter.com/@realafrogaette; https://instagram.com/AfroGazette,,/,2026-05-04T21:08:46.289427+00:00
abam.co.zw,,business,,149.255.58.79,nginx,admin@abam.co.zw,admin@abam.co.zw,+263-772-663-484,https://www.instagram.com/abartmovement/; https://www.linkedin.com/company/african-born-art-movement/; https://www.facebook.com/abartmovement/,,"/,/about/,/contact",2026-05-04T21:08:46.289459+00:00
avantis.co.zw,,business,Divi,164.160.91.30,LiteSpeed,,,+263 242 304 643; +263772493905,https://www.facebook.com/avantistech; https://x.com/avantis_tech; https://www.instagram.com/avantistech/,,"/,/contact-us-2/,/about/,/about-us/,/contact-us/",2026-05-04T21:08:46.289500+00:00
hansole.co.zw,914509,business,astra,198.187.29.76,Apache,info@hansole.co.zw,info@hansole.co.zw,+263716932110,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.289531+00:00
delta.co.zw,559371,business,delta-zimbabwe,162.0.226.180,nginx,info@delta.co.zw,info@delta.co.zw; info@yourwebsite.com,+263-242-883865; 0867 702 0375; 08677002064,https://www.facebook.com/deltacorpinthecommunity/; https://twitter.com/deltacorpzim/; https://www.linkedin.com/company/delta-beverages-pvt-ltd/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.289564+00:00
bain.co.zw,,business,,144.91.88.223,Apache,info@bain.co.zw,info@bain.co.zw; bain@bain.co.zw,+263772156208; +263-0240-662619; 0772 149 426,https://www.facebook.com/betterbuybain1; https://www.linkedin.com/company/bain-new-holland/; https://www.instagram.com/bain_newholland/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.289610+00:00
appertax.co.zw,,business,,185.150.190.133,Apache,info@appertax.co.zw,info@appertax.co.zw; info@appertaxtech.co.zw,+263 78 688 5314; +263 786 885 314,https://www.facebook.com/Appertax/; https://www.instagram.com/appertax/,,"/,/about/,/contact",2026-05-04T21:08:46.289740+00:00
absolutefencing.co.zw,,business,dt-the7,104.21.22.78,cloudflare,,,,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.289755+00:00
bardproperty.co.zw,,business,,162.254.39.140,LiteSpeed,sales@bardproperty.co.zw,sales@bardproperty.co.zw,+263 242 755338; +263 292 60647,https://www.facebook.com/; https://twitter.com/; https://www.instagram.com/; https://bd.linkedin.com/,,"/,/index.php/contact-us/,/index.php/about-us/",2026-05-04T21:08:46.289791+00:00
adept.co.zw,,business,,129.232.213.113,Apache,sales@adept.co.zw,sales@adept.co.zw,+263 77 367 6100; +263 77 372 9669; +263 77 345 1200,https://www.linkedin.com/company/adeptsolutions/; https://www.twitter.com/adeptzim/; https://www.facebook.com/adeptsolutionsZW/; https://www.linkedin.com/in/wnheta/; https://www.linkedin.com/in/benjamin-nheta-7b02a4191/; https://www.linkedin.com/in/bright-usayi-7342a3191/,,"/,/about/,/contact",2026-05-04T21:08:46.289834+00:00
awet.org.zw,,ngo,,149.255.58.81,nginx,info@awet.org.zw,info@awet.org.zw,08080443; +263 8677008840 08080443; +263 8677008840,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.289879+00:00
gzu.ac.zw,564987,education,astra,196.43.101.214,Apache,information@gzu.ac.zw,information@gzu.ac.zw; dracademic@gzu.ac.zw; info@domain.com,+263 39 2266648; +263782780662; 00 - 2026-08-14,https://www.facebook.com/profile.php?id=100067718961478; https://x.com/GreatZimUni; https://www.linkedin.com/school/great-zimbabwe-university,,"/,/contact-us-2/,/about/,/contact-us/",2026-05-04T21:08:46.289914+00:00
arlington.co.zw,,business,,87.117.234.111,Apache,salesadmin@arlingtonzw.com,salesadmin@arlingtonzw.com; ma%72s%68all.t%73%65k%77e%6Ede@ca%72d%69na%6Cco%72p.c%6F.zw; %4A%6Fshua.silcoc%6B@%63ardinalc%6Frp.co%2Ez%77; admin@arlingtonzw.com; marshall.tsekwende@cardinalcorp.co.zw,+263 772 200 135; +263 772 876 753; +263 242 497231,https://www.facebook.com/Arlington-Residential-Estate-737047923018940,,"/,/about/,/contact",2026-05-04T21:08:46.289950+00:00
attelecoms.co.zw,,business,,156.38.147.124,Apache,sales@attelecoms.co.zw,sales@attelecoms.co.zw,,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.289974+00:00
bluefinrisk.co.zw,,business,,148.72.177.82,LiteSpeed,info@bluefinrisk.co.zw,info@bluefinrisk.co.zw,+263 8677004068,https://www.facebook.com/BluefinRiskSolution,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.290018+00:00
binaryoptions.co.zw,,blog,,172.96.161.16,Apache,trade@swagforex.co.zw,trade@swagforex.co.zw,,https://swagforex.com/how-to-trade-synthetic-indices/; https://banner-api.hotforex.com/link/9692206f?regulator=HFSV&refid=301699&acid=7308e08cd5; https://www.facebook.com/groups/784382205623041,,/,2026-05-04T21:08:46.290058+00:00
borrowdalevilla.co.zw,,business,,72.52.216.43,Apache,,,,,,,2026-05-04T21:08:46.290100+00:00
ardcz.org.zw,,government,,129.232.213.107,Apache,admin@ardcz.org.zw,info@ardcz.org.zw; sg@ardcz.org.zw; admin@ardcz.org.zw,+263 242 797096; +263 777631370-85; +263 4 797 096,//www.facebook.com/ardczim; //www.twitter.com/ardczw,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.290133+00:00
busyworld.co.zw,,business,,172.93.106.10,LiteSpeed,sales@busyworld.co.zw,sales@busyworld.co.zw,086 441 36426; 0772 227 101; 03-10-13-01-01 12,,,"/,/about/,/contact",2026-05-04T21:08:46.290168+00:00
amacon.co.zw,,business,,188.114.96.5,,,,+263780256597; 0784445904; 0784445903,https://www.facebook.com/CivilsAmacon; https://twitter.com/CivilsAmacon?s=20; https://www.instagram.com/amaconcivils/; https://www.facebook.com/share/1C239u4syV/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.290202+00:00
bokwesttrucking.co.zw,,business,,77.95.113.16,LiteSpeed,info@bokwesttrucking.co.zw,info@bokwesttrucking.co.zw,+263-773 024 755; +263-772 905 701,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.290238+00:00
badrabbitstudio.co.zw,,business,hello-elementor,87.117.234.111,Apache,buck@badrabbitstudio.co.zw,buck@badrabbitstudio.co.zw,+263 772 573 151,https://www.facebook.com/badrabbitstudio/; https://www.instagram.com/badrabbitstudio/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.290268+00:00
bozmic.co.zw,,business,,162.211.86.33,Apache,info@bozmic.com,info@bozmic.com; dzambezi@gmail.com,+263 242 447417; +263 772 328 343; +263 774 712 811,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.290318+00:00
beechnut.co.zw,,ecommerce,porto-child,168.235.125.170,LiteSpeed,enquiries@beechnut.co.zw,enquiries@beechnut.co.zw; sales@beechnut.co.zw,+2638644077634; +263 783238318,https://www.facebook.com/sharer.php?u=https://beechnut.co.zw/about-spurge-grass/; https://twitter.com/intent/tweet?text=About+Spurge+Grass&url=https://beechnut.co.zw/about-spurge-grass/; https://www.linkedin.com/shareArticle?mini=true&url=https://beechnut.co.zw/about-spurge-grass/&title=About+Spurge+Grass,,"/,/about/,/contact-us-advanced/,/about-us/,/contact-us/",2026-05-04T21:08:46.290375+00:00
artfarm.co.zw,,ngo,,41.85.192.2,Apache,admsec@artfarm.co,admsec@artfarm.co,0773 292 402; +263 774143192,https://www.facebook.com/pages/A.R.T.%20Farm/298449770992872/; https://www.instagram.com/a.r.t.farm/,,"/,/about/,/contact",2026-05-04T21:08:46.290403+00:00
applered.co.zw,,other,,172.96.161.16,Apache,markerting@applered.co.zw    sales@applered.co.zw,markerting@applered.co.zw    sales@applered.co.zw; markerting@applered.co.zw; sales@applered.co.zw,0242750947,https://www.facebook.com/Applered-Advertising-and-Design-262529637242429; https://twitter.com/applered_design; https://www.linkedin.com/company/78982880/; https://www.instagram.com/applered_sales/; https://twitter.com/applered_design?ref_src=twsrc%5Etfw,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.290433+00:00
brandtech.co.zw,,business,,87.117.234.111,Apache,brandtech@brandtech.co.zw,brandtech@brandtech.co.zw,+263 775 191 083,,,"/,/contact",2026-05-04T21:08:46.290480+00:00
casmo.co.zw,,business,twentytwentyone,194.110.243.35,,wordpress@example.com,wordpress@example.com,,https://www.facebook.com/wordpress; https://twitter.com/wordpress; https://www.instagram.com/explore/tags/wordcamp/,,"/,/about/,/contact",2026-05-04T21:08:46.290510+00:00
braai.co.zw,,other,,148.251.13.105,Apache,,,,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.290533+00:00
calla.co.zw,,other,,188.114.97.5,cloudflare,,,,,,/,2026-05-04T21:08:46.290559+00:00
basechurch.org.zw,,religious,,162.241.127.51,Apache,churchadmin@basechurch.org.zw,churchadmin@basechurch.org.zw,+263 77 88 44166,https://www.facebook.com/www.basechurch.org.zw,,/,2026-05-04T21:08:46.290592+00:00
ama.co.zw,,government,,162.241.125.79,Apache,,,,,,,2026-05-04T21:08:46.290601+00:00
bridgecleaners.co.zw,,business,,172.93.120.111,Apache,info@bridgecleaners.co.zw,info@bridgecleaners.co.zw; brdgcleaners@gmail.com,+263772688017; 0242-750987,https://business.facebook.com/bridgecleaners18/,,"/,/about/,/contact",2026-05-04T21:08:46.290633+00:00
aluminiumdesignworks.co.zw,,business,,129.232.213.109,Apache,sales@aluminiumdesignworks.co.zw,sales@aluminiumdesignworks.co.zw,+263 242 748 442; +263 772 479 568; +263 781 331 602,https://www.instagram.com/aluminium_design_and_works/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.290661+00:00
barons.co.zw,,ecommerce,Divi,144.208.108.199,Apache,,,,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.290689+00:00
byco.co.zw,,ecommerce,Avada,188.114.97.5,cloudflare,,,+263 242 620830,,,/,2026-05-04T21:08:46.290706+00:00
capitalfoods.co.zw,,ecommerce,,188.114.97.5,cloudflare,,,,,,,2026-05-04T21:08:46.290723+00:00
bambazonke.co.zw,,business,astra,87.117.234.111,,ads@bambazonke.co.zw,ads@bambazonke.co.zw,+263 77 235 4177,https://www.facebook.com/bambazonkenhasi/; https://www.instagram.com/bambazonke_nhasi/; https://www.instagram.com/bambazonke_nhasi/?igshid=YmMyMTA2M2Y%3D; https://www.linkedin.com/company/bambazonke-online/?originalSubdomain=zw,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.290783+00:00
caterzone.co.zw,,business,bridge,194.110.243.35,,info@caterzone.co.zw,info@caterzone.co.zw,+263 772 331 319; +263 719 331 319,,,/,2026-05-04T21:08:46.290816+00:00
blacktoe.co.zw,,business,,199.250.208.19,Apache,info@blacktoe.co.zw,info@blacktoe.co.zw,+263 867 444 444; +263 775 673 326; +263 24 7900,,,"/,/contact-us/,/contact",2026-05-04T21:08:46.290839+00:00
agrimillingstockfeeds.co.zw,,business,,129.232.213.107,Apache,,,,,,,2026-05-04T21:08:46.290855+00:00
aazimbabwe.co.zw,,other,hello-elementor,129.232.213.115,Apache,membership@aazimbabwe.co.zw,membership@aazimbabwe.co.zw; membershipinfo@aazimbabwe.co.zw,+2638688007676; +263712 406 033,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.290882+00:00
aurumaestheticsurgery.co.zw,,business,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.290897+00:00
bgh.ac.zw,,education,,156.38.153.202,Apache,,,+263776093283,https://www.facebook.com/; https://www.linkedin.com/; https://www.instagram.com/,,"/,/about/,/about-us/",2026-05-04T21:08:46.290929+00:00
archedusechre.ac.zw,,religious,,192.250.229.235,LiteSpeed,,,,,,,2026-05-04T21:08:46.290940+00:00
bluelacerecycling.co.zw,,business,,165.140.70.174,LiteSpeed,,,,,,,2026-05-04T21:08:46.290965+00:00
bataafrika.co.zw,,business,,162.0.232.137,LiteSpeed,inquire@bataafrika.co.zw,inquire@bataafrika.co.zw,+263 773 058 046,https://www.facebook.com/BataAfrika-Web-Design-108144877706465,,"/,/index.php/contact-us/,/index.php/about-us/",2026-05-04T21:08:46.291018+00:00
binduranickel.co.zw,,business,,156.38.147.116,Apache,info@bnc.co.zw,info@bnc.co.zw; investorrelations@bnc.co.zw,+263 772 185 650,https://www.facebook.com/binduranickel; https://www.linkedin.com/company/bindura-nickel-corporation/,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.291060+00:00
cketchagilitydesigns.co.zw,,other,,149.255.62.168,nginx,,,,,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.291084+00:00
bainesclinic.co.zw,,business,oceanwp,129.232.213.107,Apache,secretary@bainesclinic.co.zw,secretary@bainesclinic.co.zw,+263242705011; +263 242 707 489; +263 242 705 011,https://www.facebook.com/bainesavenueclinic; https://zw.linkedin.com/company/baines-avenue-clinic,,"/,/contact",2026-05-04T21:08:46.291114+00:00
cilt.co.zw,,business,,185.150.189.233,Apache,,,,,,,2026-05-04T21:08:46.291146+00:00
chengeto.co.zw,,business,,104.21.60.67,cloudflare,,,,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.291168+00:00
cbf.co.zw,,business,sparklestore,198.38.90.19,LiteSpeed,sales@cbf.co.zw,sales@cbf.co.zw; kwekwe@cbf.co.zw; chinhoyi@cbf.co.zw,+26324262453-4 215; 0730-1700; +263 06721 23 351,,,"/,/contact-us/,/contact",2026-05-04T21:08:46.291201+00:00
bestpractices.co.zw,,business,,188.114.96.5,,,,+263 242 709 762; +263 242 741 710; +263242709762,https://www.facebook.com/BestPracti; https://www.linkedin.com/company/best-practices-pvt-ltd,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.291232+00:00
bantwana.co.zw,,ngo,alone,188.114.97.5,cloudflare,,,,https://x.com/BantwanaZim; https://www.facebook.com/p/Bantwana-Zimbabwe-100075548407378/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.291267+00:00
beitbridgemun.co.zw,,government,beitbridge,172.67.209.62,cloudflare,,,085 2322265,https://www.facebook.com/BeitbridgeMunicipality/; https://twitter.com/beitbridgetc,,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.291300+00:00
cellservices.co.zw,,blog,,188.114.96.5,cloudflare,,,,,,/,2026-05-04T21:08:46.291319+00:00
ccjphre.org.zw,,religious,,129.232.213.100,Apache,,,,https://twitter.com/HarareCCJP?ref_src=twsrc%5Etfw,,/,2026-05-04T21:08:46.291348+00:00
caaz.co.zw,,government,hello-elementor-child,41.85.192.3,Apache,,,,,,,2026-05-04T21:08:46.291374+00:00
blackcrystal.co.zw,,business,,196.43.101.198,Apache,infor@blackcrystal.co.zw,infor@blackcrystal.co.zw,+263 242 480 865,https://www.facebook.com/blackcrystalconsulting; http://www.twitter.com/BlackCrystalCo1; https://zw.linkedin.com/company/black-crystal-environmental-consultants,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.291417+00:00
cjaccounting.co.zw,,business,,68.66.226.107,Apache,info@cjaccounting.co.zw,info@cjaccounting.co.zw,+263 242 745 951; +263 242 745 958 - 9; +263 242 745 958,https://www.facebook.com/candjaccounting; https://twitter.com/cjmarketing1972,,"/,/about/,/contact-us/,/new/contact-us/",2026-05-04T21:08:46.291460+00:00
celebrationinternationalschool.ac.zw,,education,,192.138.189.196,LiteSpeed,secretary@celebration.org,secretary@celebration.org,+263 86 7700 - 7467; +263 772 140 979,https://www.facebook.com/p/Celebration-International-School-100093753957046/,,"/,/about/,/contact",2026-05-04T21:08:46.291499+00:00
cardinalacc.co.zw,,business,,196.43.101.198,Apache,,,,,,,2026-05-04T21:08:46.291531+00:00
aravas.co.zw,,ecommerce,,41.57.65.29,Apache,,,,,,,2026-05-04T21:08:46.291548+00:00
backasable.co.zw,,other,hello-elementor,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.291573+00:00
chips.co.zw,,business,,129.232.213.115,Apache,info@chips.co.zw,sales@chips.co.zw; support@chips.co.zw; info@chips.co.zw,086 77003888; 086 77020366; +263 24 2773809,https://www.facebook.com/chipsafrica; https://www.linkedin.com/company/chips-business-solutions/about/; https://www.instagram.com/chipsafrica/,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.291609+00:00
citycloud.co.zw,,business,,172.67.218.171,cloudflare,,,+263777069078,facebook.com/officialCityCloud/; https://twitter.com/CityCloudZw; https://www.instagram.com/CityCloudZw/; https://www.linkedin.com/company/citycloudzw/; https://www.facebook.com/sassydecor.co.zw/; https://www.facebook.com/MaxieMakumucha/; https://twitter.com/maxiemakumuchah,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.291641+00:00
chipej.co.zw,,business,,188.114.96.5,cloudflare,,,+263 71 922 2826; +263 77 822 2826; +263 73 222 2826,https://www.facebook.com/chipejsystems/; https://twitter.com/chipejs; https://www.instagram.com/chipejsystems/,,"/,/about/,/about-us/,/contact-us/,/contact-chipej-systems-harare/",2026-05-04T21:08:46.291674+00:00
coachgreens.co.zw,,education,,66.45.23.70,,info@coachgreens.co.zw,info@coachgreens.co.zw,+263 776 803 255; +263776803255,https://www.facebook.com/people/Coach-Greens-IELTS-Lessons/61558264221884/,,/,2026-05-04T21:08:46.291704+00:00
cityparking.co.zw,,business,,104.21.60.102,cloudflare,,,0719 515 601; +263 242707876; +263 739885896,https://www.facebook.com/share/1ZVmNYD5ix/?mibextid=wwXIfr; https://x.com/cityparkinghre?s=21; https://www.instagram.com/city_parking_zw?igsh=YXFhdnEwNzhvN3E5,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.291735+00:00
caipensions.co.zw,,business,Avada,198.54.115.181,Apache,info@caipensions.co.zw,info@caipensions.co.zw; makufac@caipensions.co.zw; taperag@caipensions.co.zw,+263 800 4327; 08002000-; 02427011623,,,"/,/about/",2026-05-04T21:08:46.291772+00:00
cellmed.co.zw,,business,,196.43.101.198,hcdn,,,,,,,2026-05-04T21:08:46.291795+00:00
bluewaters.co.zw,,business,,172.93.106.10,LiteSpeed,,,,,,,2026-05-04T21:08:46.291818+00:00
auditorgeneral.gov.zw,,government,corpiva,129.232.205.246,Apache,info@oag.org.zw,info@oag.org.zw; oagzim@oag.org.zw,+263 242 793611; +263-242-792611; +263-242-762817,https://www.linkedin.com/in/office-of-the-auditor-general-zimbabwe-791390307,,"/,/about/,/contact-us-3/,/contact-us/",2026-05-04T21:08:46.291835+00:00
centurytechnology.co.zw,,business,,104.21.42.199,,,,+263 242 747 566; +263 242 779 787; +263 4 747 566,,,"/,/about/,/contact",2026-05-04T21:08:46.291859+00:00
bybees.co.zw,,business,betheme,184.154.118.34,,bees@bybees.co.zw,bees@bybees.co.zw; noreply@envato.com,+263 78 819 7047,,,"/,/about/,/contact",2026-05-04T21:08:46.291897+00:00
ccap.co.zw,,religious,astra,148.251.13.105,Apache,,,,,,,2026-05-04T21:08:46.291931+00:00
bwmedia.co.zw,,other,,188.114.97.5,cloudflare,,,,,,,2026-05-04T21:08:46.291954+00:00
creative.co.zw,,business,,162.244.93.6,LiteSpeed,creditsales@creative.co.zw,creditsales@creative.co.zw; tanya@creative.co.zw,,,,"/,/index.php/contact-us-3/",2026-05-04T21:08:46.291979+00:00
brightsparksolutions.co.zw,,ecommerce,,99.198.109.66,Apache,,,,,,,2026-05-04T21:08:46.291999+00:00
cmlawchambers.co.zw,,business,,108.160.156.8,LiteSpeed,admin@cmlawchambers.co.zw,admin@cmlawchambers.co.zw; info@cmlawchambers.co.zw; muchechelaw@gmail.com,+263 8644262876; +263 242 799860; +263 772 562 140,https://www.linkedin.com/in/honourable-caleb-mucheche-5075013b/; https://m.facebook.com/calebmuchechepartners; https://www.linkedin.com/in/regina-mutindindi-57102384/; https://www.linkedin.com/in/reginald-tongoona-mutero-87a236a0/,,"/,/about/,/about-us/,/contact-us/,/cmlawchambers/contact-us/",2026-05-04T21:08:46.292050+00:00
bridgewood.co.zw,,business,,148.251.13.105,Apache,,,,,,,2026-05-04T21:08:46.292082+00:00
